REGION;COMUNA;Destino;TipoVehiculo;Catalitico;NoCatalitico
1;1404;1.0;6.0;7.0;0.0
1;1404;1.0;7.0;155.0;1.0
1;1404;1.0;8.0;4.0;0.0
1;1404;1.0;9.0;0.0;0.0
1;1404;2.0;1.0;1.0;0.0
1;1404;2.0;2.0;0.0;0.0
1;1404;2.0;3.0;1.0;0.0
1;1404;2.0;4.0;3.0;0.0
1;1404;2.0;5.0;0.0;0.0
1;1404;2.0;6.0;0.0;0.0
1;1404;2.0;7.0;23.0;0.0
1;1404;2.0;8.0;1.0;0.0
1;1404;2.0;9.0;0.0;0.0
1;1404;3.0;1.0;16.0;3.0
1;1404;3.0;2.0;0.0;0.0
1;1404;3.0;3.0;0.0;0.0
1;1404;3.0;4.0;0.0;0.0
1;1404;3.0;5.0;0.0;1.0
1;1404;3.0;6.0;1.0;0.0
1;1404;3.0;7.0;0.0;0.0
1;1405;1.0;1.0;402.0;10.0
1;1405;1.0;2.0;919.0;46.0
1;1405;1.0;3.0;24.0;24.0
1;1405;1.0;4.0;105.0;0.0
1;1405;1.0;5.0;3.0;0.0
1;1405;1.0;6.0;20.0;0.0
1;1405;1.0;7.0;1351.0;13.0
1;1405;1.0;8.0;14.0;1.0
1;1405;1.0;9.0;0.0;0.0
1;1405;2.0;1.0;14.0;0.0
1;1405;2.0;2.0;0.0;0.0
1;1405;2.0;3.0;0.0;0.0
1;1405;2.0;4.0;31.0;0.0
1;1405;2.0;5.0;1.0;0.0
1;1405;2.0;6.0;0.0;0.0
1;1405;2.0;7.0;73.0;0.0
1;1405;2.0;8.0;0.0;0.0
1;1405;2.0;9.0;0.0;0.0
1;1405;3.0;1.0;48.0;9.0
1;1405;3.0;2.0;12.0;0.0
1;1405;3.0;3.0;0.0;0.0
1;1405;3.0;4.0;0.0;0.0
1;1405;3.0;5.0;0.0;0.0
1;1405;3.0;6.0;5.0;0.0
1;1405;3.0;7.0;0.0;0.0
2;2101;1.0;1.0;37987.0;725.0
2;2101;1.0;2.0;20719.0;188.0
2;2101;1.0;3.0;2553.0;246.0
2;2101;1.0;4.0;1764.0;69.0
2;2101;1.0;5.0;36.0;10.0
2;2101;1.0;6.0;450.0;15.0
2;2101;1.0;7.0;14479.0;357.0
2;2101;1.0;8.0;2248.0;53.0
2;2101;1.0;9.0;0.0;0.0
2;2101;2.0;1.0;179.0;0.0
2;2101;2.0;2.0;2287.0;0.0
2;2101;2.0;3.0;359.0;0.0
2;2101;2.0;4.0;678.0;0.0
2;2101;2.0;5.0;126.0;0.0
2;2101;2.0;6.0;24.0;0.0
2;2101;2.0;7.0;1110.0;0.0
2;2101;2.0;8.0;58.0;7.0
2;2101;2.0;9.0;0.0;0.0
2;2101;3.0;1.0;3443.0;67.0
2;2101;3.0;2.0;1574.0;38.0
2;2101;3.0;3.0;3.0;0.0
2;2101;3.0;4.0;0.0;0.0
2;2101;3.0;5.0;0.0;0.0
2;2101;3.0;6.0;608.0;11.0
2;2101;3.0;7.0;0.0;0.0
2;2102;1.0;1.0;1160.0;27.0
2;2102;1.0;2.0;665.0;17.0
2;2102;1.0;3.0;85.0;18.0
2;2102;1.0;4.0;78.0;1.0
2;2102;1.0;5.0;3.0;0.0
2;2102;1.0;6.0;39.0;1.0
2;2102;1.0;7.0;971.0;17.0
2;2102;1.0;8.0;81.0;2.0
2;2102;1.0;9.0;0.0;0.0
2;2102;2.0;1.0;24.0;0.0
2;2102;2.0;2.0;0.0;0.0
2;2102;2.0;3.0;34.0;0.0
2;2102;2.0;4.0;41.0;0.0
2;2102;2.0;5.0;1.0;0.0
2;2102;2.0;6.0;1.0;0.0
2;2102;2.0;7.0;315.0;3.0
2;2102;2.0;8.0;9.0;1.0
2;2102;2.0;9.0;0.0;0.0
2;2102;3.0;1.0;265.0;8.0
2;2102;3.0;2.0;380.0;1.0
2;2102;3.0;3.0;0.0;0.0
2;2102;3.0;4.0;0.0;0.0
2;2102;3.0;5.0;0.0;0.0
2;2102;3.0;6.0;107.0;2.0
2;2102;3.0;7.0;0.0;0.0
2;2103;1.0;1.0;312.0;5.0
2;2103;1.0;2.0;225.0;2.0
2;2103;1.0;3.0;20.0;2.0
2;2103;1.0;4.0;64.0;0.0
2;2103;1.0;5.0;0.0;0.0
2;2103;1.0;6.0;21.0;0.0
