Total;Mujeres;Hombres;Region;Comuna;Jornada
294;154;140;13;13101;1
139;47;92;13;13101;1
167;111;56;13;13101;1
26;5;21;13;13101;2
40;14;26;13;13101;1
43;10;33;13;13101;1
75;40;35;13;13101;1
5;1;4;13;13101;1
21;13;8;13;13101;2
41;19;22;13;13101;1
33;16;17;13;13101;1
35;9;26;13;13101;2
127;103;24;13;13101;2
215;106;109;13;13101;2
242;50;192;13;13101;2
126;47;79;13;13101;2
82;19;63;13;13101;2
93;66;27;13;13101;2
35;2;33;13;13101;2
10;4;6;13;13101;2
73;49;24;13;13101;2
69;46;23;13;13101;2
97;42;55;13;13101;2
21;10;11;13;13101;2
79;17;62;13;13101;2
39;14;25;13;13101;2
133;65;68;13;13101;2
82;36;46;13;13101;2
50;25;25;13;13101;2
66;32;34;13;13101;2
10;6;4;13;13101;2
69;38;31;13;13101;2
558;259;299;13;13101;1
341;320;21;13;13101;1
490;296;194;13;13101;1
152;147;5;13;13101;1
242;221;21;13;13101;1
138;137;1;13;13101;1
14;9;5;13;13101;1
181;117;64;13;13101;1
7;5;2;13;13101;1
641;328;313;13;13101;1
37;17;20;13;13101;2
35;14;21;13;13101;2
61;47;14;13;13101;2
90;68;22;13;13101;2
5;4;1;13;13101;2
2;2;;13;13101;2
97;89;8;13;13101;2
22;21;1;13;13101;2
17;16;1;13;13101;2
30;23;7;13;13101;2
2;2;;13;13101;2
1;1;;13;13101;2
41;36;5;13;13101;5
11;4;7;13;13101;2
965;625;340;13;13101;1
402;208;194;13;13101;1
329;149;180;13;13101;1
554;312;242;13;13101;1
443;237;206;13;13101;1
435;207;228;13;13101;1
68;48;20;13;13101;1
133;57;76;13;13101;1
186;102;84;13;13101;1
148;76;72;13;13101;2
956;565;391;13;13101;1
316;185;131;4;4101;1
1;1;;2;2101;1
25;16;9;4;4101;2
605;343;262;13;13101;2
1;1;;2;2101;2
36;16;20;13;13101;2
1;1;;13;13101;2
4;4;;13;13101;2
6;2;4;13;13101;2
4;3;1;13;13101;2
1;;1;13;13101;2
1;;1;13;13101;2
2;1;1;13;13101;2
6;3;3;13;13101;5
4;2;2;13;13101;2
5;1;4;13;13101;2
1;;1;13;13101;2
3;2;1;13;13101;2
14;6;8;13;13101;2
1;1;;13;13101;2
1;1;;13;13101;2
5;3;2;13;13101;2
8;5;3;4;4101;2
1;;1;13;13101;2
12;9;3;13;13101;2
1;1;;13;13101;2
8;7;1;13;13101;2
1;1;;13;13101;2
1;1;;13;13101;2
1;;1;13;13101;2
26;21;5;13;13101;2
8;5;3;13;13101;2
2;;2;13;13101;2
1;1;;13;13101;2
9;2;7;13;13101;2
5;5;;13;13101;2
11;9;2;13;13101;2
2;2;;13;13101;2
3;3;;13;13101;2
1;;1;13;13101;2
1;;1;13;13101;2
97;85;12;13;13101;1
136;136;;13;13101;1
897;769;128;13;13101;1
67;29;38;13;13101;1
97;7;90;13;13101;1
73;19;54;13;13101;1
155;33;122;13;13101;1
19;1;18;13;13101;2
215;63;152;13;13101;1
454;173;281;13;13101;1
61;25;36;4;4101;1
166;81;85;13;13101;1
118;55;63;13;13101;2
6;;6;13;13101;1
3;1;2;13;13101;2
67;33;34;13;13101;1
9;;9;13;13101;1
3;;3;13;13101;2
143;21;122;13;13101;1
4;;4;13;13101;2
57;5;52;13;13101;2
27;12;15;13;13101;1
38;35;3;4;4101;2
132;121;11;13;13101;2
72;64;8;13;13101;2
14;4;10;13;13101;2
8;6;2;13;13101;2
7;2;5;13;13101;2
3;3;;13;13101;2
12;4;8;13;13101;2
7;6;1;13;13101;2
9;9;;13;13101;2
9;3;6;13;13101;2
24;8;16;13;13101;2
10;6;4;13;13101;5
12;4;8;13;13101;2
23;10;13;13;13101;2
8;2;6;13;13101;2
24;6;18;13;13101;2
10;5;5;4;4101;2
6;4;2;13;13101;2
8;5;3;13;13101;2
1;;1;4;4101;2
20;10;10;13;13101;2
15;4;11;13;13101;2
3;2;1;4;4101;2
11;6;5;13;13101;2
26;21;5;13;13101;2
21;16;5;13;13101;2
10;7;3;4;4101;2
17;10;7;13;13101;2
24;16;8;13;13101;5
1;;1;4;4101;2
10;8;2;13;13101;2
22;16;6;13;13101;2
26;15;11;13;13101;2
67;46;21;4;4101;2
30;4;26;13;13101;2
1;1;;13;13101;2
9;7;2;13;13101;2
15;9;6;13;13101;2
4;2;2;13;13101;2
39;32;7;13;13101;2
4;;4;13;13101;2
1;;1;13;13101;2
43;31;12;13;13101;3
7;2;5;13;13101;2
14;4;10;13;13101;2
17;3;14;13;13101;2
36;33;3;13;13101;1
9;2;7;13;13101;1
65;58;7;4;4101;2
217;201;16;13;13101;2
27;27;;13;13101;2
189;184;5;4;4101;1
336;328;8;13;13101;1
112;30;82;4;4101;1
349;80;269;13;13101;1
42;37;5;13;13101;2
123;80;43;13;13101;1
43;33;10;13;13101;2
62;39;23;13;13101;1
5;1;4;13;13101;2
169;86;83;13;13101;1
60;12;48;13;13101;1
4;3;1;13;13101;2
3;3;;13;13101;2
87;77;10;13;13101;1
6;6;;13;13101;2
1;;1;13;13101;2
6;6;;13;13101;2
3;2;1;13;13101;2
25;20;5;13;13101;2
15;15;;13;13101;2
15;8;7;13;13101;2
4;3;1;13;13101;2
10;3;7;13;13101;2
109;18;91;13;13101;3
89;12;77;4;4101;2
148;22;126;13;13101;2
